Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Issuing Agency,Violation Location,Violation Precinct,Issuer Precinct,Violation Time,Date First Observed,Law Section,Sub Division,Vehicle Year,Feet From Curb
25868MB,NY,COM,01/25/2017,51,T,1.0,1,1,0204P,0,408,e3,2012,0
CES6482,NY,PAS,06/12/2017,9,T,81.0,81,81,0853A,0,408,e1,2008,0
AT459E,NJ,PAS,04/13/2017,69,T,14.0,14,14,1026A,0,408,h1,0,0
EFJ1721,NY,PAS,05/17/2017,37,T,19.0,19,19,1152A,0,408,h1,2008,0
F96FBF,NJ,PAS,04/23/2017,14,T,14.0,14,14,1031A,0,408,c,0,0
SH3ZBAD,AL,PAS,03/11/2017,38,T,44.0,44,44,0809A,0,408,h1,0,0
GEL1890,NY,PAS,09/19/2016,16,T,1.0,1,1,1241P,0,408,k2,2015,0
76130JH,NY,COM,09/16/2016,21,T,24.0,24,24,1206P,0,408,d1,2007,0
HEA6308,NY,PAS,02/16/2017,71,T,75.0,75,75,0405P,0,408,j6,2016,0
HFB1731,NY,PAS,04/14/2017,20,T,19.0,19,19,0921A,0,408,d,2016,0
AHG9422,NY,PAS,01/05/2017,27,P,45.0,45,45,0149P,0,408,J6,2001,0
EWL8888,NY,PAS,12/01/2016,20,T,52.0,52,52,0255A,0,408,d,2010,0
HAZ7926,NY,PAS,04/15/2017,38,T,17.0,17,17,0936P,0,408,h1,2015,0
GSH2040,NY,PAS,04/20/2017,46,T,114.0,114,114,0414P,0,408,f1,2009,0
GXC5916,NY,PAS,02/13/2017,71,T,114.0,114,114,0820A,0,408,j6,2004,0
HAL6563,NY,PAS,10/12/2016,38,T,90.0,90,90,0958A,0,408,h1,2005,0
DKT8358,NY,PAS,09/08/2016,21,T,114.0,114,114,0936A,0,408,d1,2006,0
GYG8911,NY,PAS,12/18/2016,24,T,110.0,110,110,1204P,0,408,d5,2015,0
26013KA,NY,COM,08/04/2016,38,T,24.0,24,24,0300P,0,408,h1,2010,0
MLU536,SC,PAS,12/14/2016,38,T,44.0,44,44,1211P,0,408,h1,0,0
D53AUUN,NJ,PAS,10/21/2016,9,T,17.0,17,17,1005A,0,408,e1,0,0
GWG6715,NY,PAS,11/09/2016,37,T,61.0,61,61,0225P,0,408,h1,2015,0
83546JU,NY,COM,10/04/2016,38,T,52.0,52,52,0929A,0,408,h1,2006,0
HLC5085,NY,PAS,02/06/2017,31,T,17.0,17,17,0208P,0,408,l3,2015,0
96170MA,NY,COM,06/05/2017,50,T,34.0,34,34,0334P,0,408,e5,2012,0
55219MA,NY,COM,10/22/2016,47,T,13.0,13,13,1007A,0,408,l2,2015,0
GYG7508,NY,PAS,09/01/2016,21,T,110.0,110,110,0845A,0,408,d1,2012,0
FBB5153,NY,PAS,06/03/2017,38,T,114.0,114,114,1003A,0,408,h1,2013,0
FGN4109,NY,PAS,11/14/2016,20,T,76.0,76,76,0304P,0,408,d,2014,0
GPP7413,NY,PAS,10/08/2016,19,T,72.0,72,72,0248P,0,408,c3,2010,0
HMJ8126,NY,PAS,06/26/2017,40,T,107.0,107,107,0133P,0,408,e2,2009,6
HKP7234,NY,PAS,02/10/2017,40,P,32.0,32,32,0631P,0,408,F7,2016,0
HDB8092,NY,PAS,05/18/2017,21,T,115.0,115,115,0812A,0,408,d1,2011,0
GYJ7561,NY,PAS,11/02/2016,21,S,49.0,49,0,1140A,0,408,D1,2014,0
57309ME,NY,COM,06/07/2017,69,T,14.0,14,14,0914A,0,408,h1,2014,0
HDK4072,NY,PAS,08/23/2016,21,T,102.0,102,102,0104P,0,408,d1,2006,0
X89HVW,NJ,PAS,06/14/2017,21,T,115.0,115,115,1156A,0,408,d1,0,0
HHC5057,NY,PAS,01/14/2017,38,T,61.0,61,61,0125P,0,408,h1,2009,0
0480PRA,MN,PAS,01/26/2017,19,T,14.0,14,14,0758A,0,408,c3,0,0
GTS6000,NY,PAS,10/20/2016,38,T,112.0,112,112,0257P,0,408,h1,2007,0
8P82H,NY,OMT,12/21/2016,14,P,18.0,18,405,1015A,0,408,C,2014,0
FAD5808,NY,PAS,05/17/2017,20,T,84.0,84,84,0219P,0,408,d,2013,0
86609MB,NY,COM,06/18/2017,13,T,14.0,14,14,0940A,0,408,c2,2011,0
GPK7120,NY,PAS,10/13/2016,37,T,111.0,111,111,0955P,0,408,h1,2011,0
CMD1897,NY,PAS,10/19/2016,21,T,107.0,107,107,1115A,0,408,d1,2016,0
AB157N,NJ,PAS,03/03/2017,46,T,1.0,1,1,1105A,0,408,F1,0,0
GML6346,NY,PAS,12/19/2016,21,S,62.0,62,0,1212P,0,408,D1,2013,0
FPN6798,NY,PAS,07/22/2016,21,T,66.0,66,66,0943A,0,408,d1,2011,0
GSM5317,NY,PAS,11/14/2016,37,T,103.0,103,103,0411P,0,408,h1,2015,0
ZPBEAR,NY,SRF,09/29/2016,37,T,106.0,106,106,0323P,0,408,h1,2016,0
GDV1998,NY,PAS,05/01/2017,71,P,100.0,100,100,0128A,0,408,E2,2013,0
49033ME,NY,COM,07/14/2016,16,T,19.0,19,19,0958A,0,408,k2,2011,0
DYB1485,NY,PAS,10/04/2016,20,T,94.0,94,94,1005A,0,408,d,2008,0
19662JA,NY,COM,12/19/2016,37,T,19.0,19,19,1031A,20161219,408,h1,2001,0
FFL7741,NY,PAS,05/08/2017,38,T,105.0,105,105,0208P,0,408,h1,2016,0
GJA1784,NY,PAS,06/02/2017,20,T,70.0,70,70,1054A,0,408,d,2015,0
36012JH,NY,COM,06/05/2017,40,T,110.0,110,110,1139A,0,408,e2,2002,0
ZCL5723,PA,PAS,01/26/2017,14,T,81.0,81,81,0409P,0,408,c,0,0
55507JZ,NY,COM,03/20/2017,47,T,13.0,13,13,0253P,0,408,l2,2004,0
HKT1200,NY,PAS,11/28/2016,71,T,61.0,61,61,1203P,0,408,j6,2003,0
41795JX,NY,COM,03/09/2017,14,T,1.0,1,1,0925A,0,408,c,2008,0
HAL3075,NY,PAS,02/17/2017,21,T,108.0,108,108,0228A,0,408,d1,1993,0
AVS4503,NY,PAS,09/16/2016,20,T,112.0,112,112,0151P,0,408,d,2017,0
GVB9839,NY,PAS,09/19/2016,21,S,100.0,100,0,1228P,0,408,D1,0,0
HDF6978,NY,PAS,02/25/2017,46,T,20.0,20,20,0348P,0,408,f1,2016,0
GTP5204,NY,PAS,04/24/2017,31,T,14.0,14,14,1030A,0,408,l3,2014,0
HPW9117,NY,PAS,05/27/2017,46,T,6.0,6,6,1125A,0,408,f1,1991,0
67754MC,NY,COM,11/16/2016,40,T,94.0,94,94,1248P,0,408,e2,2013,1
49783MA,NY,COM,05/05/2017,46,T,1.0,1,1,0931A,0,408,F1,2001,0
GKB2710,NY,PAS,07/25/2016,37,T,66.0,66,66,1129A,0,408,h1,2015,0
T656205C,NY,OMT,01/28/2017,51,T,104.0,104,104,0733A,0,408,e3,2011,0
67815MC,NY,COM,10/24/2016,47,T,17.0,17,17,0303P,0,408,l2,2005,0
HJV3061,NY,PAS,12/13/2016,71,T,47.0,47,47,1133A,0,408,j6,0,0
70728MD,NY,COM,02/03/2017,47,T,10.0,10,10,0153P,0,408,l2,2012,0
GCR2084,NY,PAS,07/19/2016,48,T,42.0,42,42,0845A,0,408,e9,2005,0
76691MH,NY,COM,04/24/2017,47,T,14.0,14,14,0929A,0,408,l2,2006,0
12203MG,NY,COM,12/01/2016,46,P,24.0,24,24,1137A,0,408,D1,2015,0
GLS7002,NY,PAS,09/09/2016,40,T,30.0,30,30,0859A,0,408,e2,2002,0
GTP8988,NY,PAS,08/10/2016,16,T,90.0,90,90,0146P,0,408,k2,2015,0
917029N,NJ,PAS,03/17/2017,38,T,48.0,48,48,1000A,0,408,h1,0,0
DRU6182,NY,PAS,07/19/2016,21,T,70.0,70,70,1203P,0,408,d1,2005,0
80381MD,NY,COM,03/02/2017,21,T,10.0,10,10,0908A,0,408,d1,2006,0
HAU1278,NY,PAS,03/31/2017,14,T,112.0,112,112,0338P,0,408,c,2015,0
601473,NY,PAS,11/09/2016,21,T,115.0,115,115,0852A,0,408,d1,0,0
GTE6420,NY,PAS,03/24/2017,70,T,84.0,84,84,1131A,0,408,j3,2015,0
HEJ2020,NY,PAS,05/05/2017,46,T,79.0,79,79,1230P,0,408,f1,2016,0
GJD5585,NY,PAS,06/01/2017,16,T,103.0,103,103,0746A,0,408,k2,2008,0
57300MC,NY,COM,09/08/2016,42,T,18.0,18,18,1131A,0,408,h1,2013,0
FHY6755,NY,PAS,03/03/2017,21,T,70.0,70,70,0913A,0,408,d1,2009,0
409507,IN,PAS,07/21/2016,47,T,13.0,13,13,0306P,0,408,l2,0,0
987536N,NJ,PAS,06/19/2017,31,T,13.0,13,13,0800A,0,408,l3,0,0
GGL9484,NY,PAS,02/10/2017,46,T,66.0,66,66,1217P,0,408,f1,2015,0
GVL6825,NY,PAS,07/27/2016,38,T,68.0,68,68,0348P,0,408,h1,2015,0
FMF1924,NY,PAS,03/28/2017,40,T,77.0,77,77,0716A,0,408,e2,0,5
85121ME,NY,COM,05/22/2017,21,T,26.0,26,26,0745A,0,408,d1,2005,0
GYP6735,NY,OMS,10/02/2016,70,T,70.0,70,70,0315P,0,408,j3,2013,0
HFX5240,NY,OMS,08/26/2016,38,T,13.0,13,13,0157P,0,408,h1,2016,0
50651JT,NY,COM,01/19/2017,38,T,78.0,78,78,1018A,0,408,h1,2005,0
42530MG,NY,COM,02/28/2017,71,T,90.0,90,90,0353P,0,408,j6,1988,0
AT785J,NJ,PAS,11/27/2016,85,S,72.0,72,0,1239P,0,408,J2,0,0
34719MG,NY,COM,12/08/2016,50,T,9.0,9,9,0742A,0,408,e5,2015,0
25472MG,NY,COM,06/16/2017,14,T,84.0,84,84,0103P,0,408,c,2011,0
GBG4410,NY,PAS,05/27/2017,38,T,67.0,67,67,1047A,0,408,h1,2008,0
29518MD,NY,COM,01/20/2017,38,T,20.0,20,20,1017A,0,408,h1,2013,0
HJV8807,NY,PAS,12/27/2016,46,T,43.0,43,43,0103P,0,408,f1,1996,0
6XWZ969,CA,PAS,07/06/2016,14,P,90.0,90,110,0940A,0,408,D,0,0
Y81GLL,NJ,PAS,02/24/2017,37,T,19.0,19,19,1250P,0,408,h1,0,0
KCG9559,PA,PAS,12/22/2016,14,T,23.0,23,23,0923A,0,408,c,0,0
FYW3850,NY,PAS,10/22/2016,74,T,68.0,68,68,0516P,0,408,j2,2002,0
ZBK5659,PA,PAS,09/16/2016,78,T,113.0,113,113,1021P,0,408,k6,0,0
CZB9676,NY,PAS,08/23/2016,14,T,19.0,19,19,0518P,0,408,c,2004,0
24745ME,NY,COM,11/09/2016,16,T,1.0,1,1,0939A,0,408,k2,2014,0
HCT2134,NY,PAS,01/18/2017,14,T,14.0,14,14,0419P,0,408,c,2006,0
41126BB,NY,OMT,07/28/2016,19,P,71.0,71,71,0110P,0,408,C3,0,0
N61GZN,NJ,PAS,11/25/2016,16,T,40.0,40,40,0802A,0,408,k2,0,0
34632BB,NY,OMR,02/12/2017,71,T,5.0,5,5,0140P,0,408,j6,2007,0
28693MH,NY,COM,06/13/2017,14,T,18.0,18,18,1205P,0,408,c,2015,0
HMX8950,NY,PAS,05/27/2017,14,T,61.0,61,61,0842A,0,408,c,2004,0
2W13A,NY,OMT,10/24/2016,38,T,19.0,19,19,0705P,0,408,h1,2015,0
42283JZ,NY,COM,04/27/2017,21,T,24.0,24,24,0944A,0,408,d1,2009,0
12211MG,NY,COM,11/11/2016,46,T,52.0,52,52,0131P,0,408,F1,2015,0
28672MH,NY,COM,11/21/2016,46,T,19.0,19,19,1106A,0,408,F1,2016,0
JNB5044,PA,PAS,12/17/2016,38,T,17.0,17,17,0345P,0,408,h1,0,0
1441,WY,PAS,06/06/2017,21,T,75.0,75,75,0839A,0,408,d1,0,0
FJA2553,NY,PAS,10/07/2016,46,P,61.0,61,61,0045A,0,408,F1,2008,0
21834ME,NY,COM,11/21/2016,42,T,13.0,13,13,0310P,0,408,h1,2014,0
390HRH,OR,PAS,09/02/2016,50,T,72.0,72,72,0253P,0,408,e5,0,0
14224MJ,NY,COM,07/07/2016,47,T,10.0,10,10,0915A,0,408,l2,2016,0
ACS8210,NY,PAS,06/23/2017,70,T,114.0,114,114,0838A,0,408,j3,2001,0
EBM8845,NY,PAS,06/16/2017,37,T,76.0,76,76,0920A,0,408,h1,2014,0
GZN5776,NY,PAS,08/03/2016,71,T,61.0,61,61,1055A,0,408,j6,2015,0
100VM,NY,SRF,12/07/2016,20,T,10.0,10,10,0440P,0,408,d,2013,0
52880MH,NY,COM,01/26/2017,42,T,17.0,17,17,1150A,0,408,h1,2016,0
HLF3741,NY,PAS,12/21/2016,38,T,88.0,88,88,0943P,0,408,h1,2016,0
HME3832,NY,PAS,03/21/2017,21,T,44.0,44,44,0818A,0,408,d1,2016,0
JRV7796,PA,PAS,08/25/2016,21,T,90.0,90,90,0848A,0,408,d1,0,0
973,NY,VAS,02/02/2017,38,T,66.0,66,66,0929A,0,408,h1,2016,0
2AVAF1,CT,PAS,02/15/2017,40,T,23.0,23,23,1226P,0,408,e2,0,6
C087382,CT,PAS,04/10/2017,40,T,115.0,115,115,0213A,0,408,e2,0,0
XU522N,NJ,PAS,04/07/2017,46,T,14.0,14,14,0603A,0,408,F1,0,0
FZX8942,NY,PAS,08/26/2016,46,T,44.0,44,44,0100P,0,408,f1,2012,0
30408MC,NY,COM,08/04/2016,14,T,103.0,103,103,0232P,0,408,c,1997,0
96143MB,NY,COM,12/08/2016,38,T,68.0,68,68,0139P,0,408,h1,2011,0
VBS6310,VA,PAS,04/08/2017,40,T,30.0,30,30,0213A,0,408,e2,0,6
GMU5413,NY,PAS,09/06/2016,38,T,20.0,20,20,0543P,0,408,h1,2015,0
CVG8394,NY,PAS,03/21/2017,21,T,28.0,28,28,0957A,0,408,d1,2001,0
67667MH,NY,COM,02/22/2017,40,T,19.0,19,19,1037A,0,408,e2,2016,0
17623MK,NY,COM,06/12/2017,40,T,40.0,40,40,1257P,0,408,e2,2005,6
12569JY,NY,COM,03/28/2017,38,T,114.0,114,114,1057A,0,408,h1,2007,0
GPW5892,NY,PAS,01/16/2017,20,T,75.0,75,75,0734A,0,408,d,2003,0
HNU1266,NY,PAS,03/24/2017,20,T,73.0,73,73,0439P,0,408,d,2014,0
F70GEP,NJ,PAS,05/01/2017,14,T,43.0,43,43,1255P,0,408,c,0,0
XDSL81,NJ,PAS,06/01/2017,47,T,18.0,18,18,1202P,0,408,l2,0,0
GWG5875,NY,PAS,11/01/2016,50,P,46.0,46,46,1040P,0,408,J3,2015,0
EJS4309,NY,PAS,08/05/2016,98,P,49.0,49,49,0350A,0,408,D,2011,0
EKE9259,NY,PAS,12/07/2016,37,T,67.0,67,67,0413P,0,408,h1,0,0
48768JZ,NY,COM,11/09/2016,46,T,25.0,25,25,0203P,0,408,F1,2009,0
XW915N,NJ,PAS,03/29/2017,14,T,120.0,120,120,1046A,0,408,c,0,0
GBE4428,NY,PAS,04/17/2017,40,T,45.0,45,45,0647A,0,408,e2,2008,1
HFP5696,NY,PAS,11/16/2016,71,T,77.0,77,77,0148P,0,408,j6,2007,0
31535JU,NY,COM,12/06/2016,40,X,19.0,19,977,1143A,0,408,I3,2005,0
T665895C,NY,OMT,08/09/2016,46,T,110.0,110,110,1244P,0,408,f1,2011,0
EDNASON,NY,SRF,08/19/2016,38,T,70.0,70,70,0206P,0,408,h1,2012,0
35989MJ,NY,COM,08/28/2016,82,T,18.0,18,18,1210P,0,408,k1,1998,0
HDJ7785,PA,PAS,07/14/2016,24,T,33.0,33,33,0722A,0,408,d5,0,0
41955JX,NY,COM,10/28/2016,40,T,104.0,104,104,1108A,0,408,e2,0,0
HJP4843,NY,PAS,01/17/2017,20,T,5.0,5,5,0300P,0,408,d,2005,0
FWZ8815,NY,PAS,01/11/2017,14,T,49.0,49,49,0825P,0,408,c,1998,0
8892CZ,CT,CMB,06/06/2017,21,T,19.0,19,19,1116A,0,408,d1,0,0
47829MD,NY,COM,02/14/2017,19,T,14.0,14,14,0847A,0,408,c3,2014,0
73441MG,NY,COM,04/01/2017,47,T,18.0,18,18,0953A,0,408,l2,2008,0
EFY2042,NY,PAS,07/14/2016,21,S,49.0,49,0,0837A,0,408,D1,2012,0
HWL4734,PA,PAS,01/14/2017,74,T,109.0,109,109,1114A,0,408,j2,0,0
EMM8151,NY,PAS,11/02/2016,37,T,84.0,84,84,0315P,0,408,h1,2015,0
63444JM,NY,COM,01/26/2017,19,T,19.0,19,19,0506P,0,408,c3,2001,0
90371MC,NY,COM,04/24/2017,46,T,45.0,45,45,1140A,0,408,F1,2014,0
Y26CRJ,NJ,PAS,06/03/2017,31,T,19.0,19,19,1240P,0,408,l3,0,0
76TD28,NY,MOT,10/26/2016,38,T,115.0,115,115,0938A,0,408,h1,0,0
76877MJ,NY,COM,05/24/2017,37,T,19.0,19,19,0938A,20170524,408,h1,2016,0
GRH7130,NY,PAS,03/30/2017,21,T,83.0,83,83,0937A,0,408,d1,2014,0
HWN1816,TX,PAS,12/27/2016,21,T,114.0,114,114,0953A,0,408,d1,0,0
FSZ8671,NY,PAS,04/21/2017,14,T,69.0,69,69,0652A,0,408,c,1999,0
XDLS80,NJ,PAS,02/01/2017,14,T,7.0,7,7,1244P,0,408,c,0,0
ETF9022,NY,PAS,05/02/2017,71,T,109.0,109,109,0638A,0,408,j6,2016,0
HJF2092,NY,PAS,12/03/2016,38,T,61.0,61,61,0204P,0,408,h1,2016,0
DBZ7195,NY,PAS,12/13/2016,21,T,68.0,68,68,0851A,0,408,d1,2011,0
GMZ9712,NY,PAS,03/30/2017,71,T,25.0,25,25,1137A,0,408,j6,2006,0
XY237D,NJ,PAS,08/09/2016,84,T,33.0,33,33,0347P,0,408,k7,0,0
97256,MA,APP,08/13/2016,77,T,109.0,109,109,0840A,0,408,m5,0,0
EHA1740,NY,PAS,10/27/2016,21,T,47.0,47,47,0849A,0,408,d1,1997,0
GCE9214,NY,PAS,06/25/2017,17,T,60.0,60,60,0150P,0,408,c4,2015,0
XCMA58,NJ,PAS,12/15/2016,53,T,14.0,14,14,0752A,0,408,f6,0,0
GXA7604,NY,PAS,02/24/2017,40,T,45.0,45,45,0231P,0,408,e2,2004,9
735ZVY,CT,PAS,10/11/2016,21,T,110.0,110,110,0746A,0,408,d1,0,0
HNJ3540,NY,PAS,03/15/2017,38,T,45.0,45,45,1236P,0,408,h1,1992,0
HFE5815,NY,PAS,07/11/2016,21,T,52.0,52,52,1156A,0,408,d1,2003,0
HGR5953,NY,PAS,02/27/2017,14,T,45.0,45,45,1122A,0,408,c,1997,0
GJK5307,NY,PAS,04/09/2017,14,P,62.0,62,62,0510A,0,408,E2,2002,0
17626MK,NY,COM,01/31/2017,46,T,50.0,50,50,0753A,0,408,F1,2013,0
5M39B,NY,OMT,07/13/2016,19,P,62.0,62,62,0640A,0,408,E5,2014,0
HCF7990,NY,PAS,01/30/2017,21,T,23.0,23,23,0942A,0,408,d1,2015,0
ATS3775,NY,PAS,01/04/2017,21,T,50.0,50,50,1238P,0,408,d1,2006,0
34SW77,NY,MOT,12/02/2016,21,T,7.0,7,7,1124A,0,408,d1,0,0
R9D509,NY,PAS,12/24/2016,71,T,112.0,112,112,0322P,0,408,j6,2008,0
AM479F,NJ,PAS,07/07/2016,10,T,19.0,19,19,0113P,0,408,b,0,0
GZD7447,NY,PAS,04/12/2017,50,T,46.0,46,46,0731A,0,408,e5,2004,0
B78AKY,NJ,PAS,06/08/2017,38,T,6.0,6,6,0828P,0,408,h1,0,0
DDJ8252,NY,PAS,11/16/2016,46,T,103.0,103,103,1105A,0,408,f1,2015,0
KHB4412,PA,PAS,04/17/2017,20,T,52.0,52,52,0650A,0,408,d,0,0
T6835420,NY,OMT,07/27/2016,21,S,110.0,110,0,0927A,0,408,D1,2015,0
F12GRE,NJ,PAS,11/11/2016,24,T,26.0,26,26,0205P,0,408,d5,0,0
HGR2303,NY,PAS,04/10/2017,71,T,45.0,45,45,0647A,0,408,j6,2003,0
HKS5462,NY,PAS,03/27/2017,38,T,68.0,68,68,0118P,0,408,h1,2010,0
HBS5720,NY,PAS,04/18/2017,98,P,83.0,83,83,1115A,0,408,J6,2012,0
HCX7823,NY,PAS,10/12/2016,23,T,108.0,108,108,0914A,0,408,d2,2015,0
EKF9820,NY,PAS,05/01/2017,19,T,47.0,47,47,0526P,0,408,c3,2003,0
DF932Z,NY,PAS,04/10/2017,53,T,68.0,68,68,0641A,0,408,f6,2016,0
GMR2584,NY,PAS,12/01/2016,37,T,66.0,66,66,1110A,0,408,h1,2013,0
JYW5248,PA,PAS,03/21/2017,21,P,48.0,48,48,0952A,0,408,E2,0,0
GCE5560,NY,PAS,08/05/2016,71,T,121.0,121,121,0317P,0,408,j6,2014,0
HFD1339,NY,PAS,07/22/2016,20,T,77.0,77,77,0226P,0,408,d,2004,0
HJR4081,NY,PAS,01/07/2017,74,T,113.0,113,113,0856A,0,408,j2,2004,0
36598MH,NY,COM,11/23/2016,16,T,1.0,1,1,0922A,20161123,408,k2,2016,0
GXC2952,NY,PAS,03/07/2017,46,T,33.0,33,33,0311P,0,408,f1,2012,0
DSN6323,NY,PAS,07/04/2016,24,P,43.0,43,43,0619P,0,408,D5,2011,0
EAW3389,NY,PAS,03/06/2017,37,T,61.0,61,61,1138A,0,408,h1,2004,0
FCM7111,NY,PAS,05/24/2017,38,T,70.0,70,70,1058A,0,408,h1,0,0
HDF4570,NY,PAS,12/19/2016,21,T,115.0,115,115,0959A,0,408,d1,1995,0
EGE9369,NY,PAS,07/29/2016,21,T,62.0,62,62,1151A,0,408,d1,2008,0
97304JB,NY,COM,05/11/2017,20,T,19.0,19,19,1043A,0,408,d,2015,0
76253JY,NY,COM,10/10/2016,46,T,24.0,24,24,1142A,0,408,F1,2007,0
GUV7315,NY,PAS,12/03/2016,71,T,34.0,34,34,0759A,0,408,j6,2006,0
GMK4592,NY,PAS,06/19/2017,19,P,52.0,52,52,0945A,0,408,C3,2006,0
FTY1182,NY,PAS,05/03/2017,21,T,112.0,112,112,0939A,0,408,d1,2010,0
GPV3988,NY,PAS,08/05/2016,38,T,114.0,114,114,0116P,0,408,h1,1998,0
W81CNF,NJ,PAS,10/24/2016,20,T,108.0,108,108,0117P,0,408,d,0,0
HLW7798,NY,PAS,06/13/2017,14,T,110.0,110,110,1252P,0,408,c,2016,0
ZRK24R,NJ,PAS,03/18/2017,14,T,49.0,49,49,0212P,0,408,c,0,0
GMZ4346,NY,PAS,05/02/2017,21,T,40.0,40,40,0919A,0,408,d1,2006,0
OL4468J,NJ,PAS,07/26/2016,21,T,110.0,110,110,0901A,0,408,d1,0,0
GRU5176,NY,PAS,05/15/2017,21,T,17.0,17,17,1114A,0,408,d1,2012,0
49966JG,NY,COM,09/14/2016,37,T,7.0,7,7,0305P,20160914,408,h1,1997,0
BMLV150,ON,PAS,07/16/2016,19,X,25.0,25,1,0102P,0,408,D3,0,0
31690BB,NY,OMR,09/06/2016,77,T,66.0,66,66,0946P,0,408,m5,2003,0
MYSUMMER,NY,OMT,07/27/2016,20,T,20.0,20,20,0258P,0,408,d,2012,0
GST8679,NY,PAS,11/21/2016,14,T,110.0,110,110,1246P,0,408,c,2006,0
GXR4201,NY,PAS,07/20/2016,46,T,34.0,34,34,1116A,0,408,f1,2014,0
GFM6245,NY,PAS,10/20/2016,21,T,94.0,94,94,1005A,0,408,d1,2016,0
HBN8474,NY,PAS,05/30/2017,91,T,48.0,48,48,1110A,0,408,n1,0,0
59622JW,NY,COM,06/09/2017,10,T,110.0,110,110,0830A,0,408,b,2007,0
ETN7313,NY,PAS,03/22/2017,21,T,72.0,72,72,1208P,0,408,d1,2009,0
CVU3012,NY,PAS,03/23/2017,21,T,90.0,90,90,1111A,0,408,d1,2017,0
HBY7509,NY,PAS,07/30/2016,19,T,104.0,104,104,0730A,0,408,c3,1997,0
HAK5607,NY,PAS,01/13/2017,37,T,108.0,108,108,0147P,0,408,h1,2010,0
FLJ1982,TX,PAS,07/29/2016,40,T,47.0,47,47,0646A,0,408,e2,0,3
L45DKG,NJ,PAS,09/15/2016,38,T,90.0,90,90,0106P,0,408,h1,0,0
FXX6545,NY,PAS,10/19/2016,71,T,113.0,113,113,0717A,0,408,j6,2005,0
GLP9323,NY,PAS,10/24/2016,38,T,13.0,13,13,0135P,0,408,h1,2007,0
12460JY,NY,COM,09/22/2016,38,T,107.0,107,107,0936A,0,408,h1,2007,0
AH20097,AZ,PAS,04/22/2017,40,T,33.0,33,33,0924A,0,408,e2,0,0
YLC28F,NJ,PAS,09/12/2016,40,T,66.0,66,66,0522P,0,408,e2,0,5
43601MG,NY,COM,05/01/2017,21,S,108.0,108,0,0736A,0,408,D1,2015,0
JFW6671,PA,PAS,04/18/2017,37,T,112.0,112,112,0205P,0,408,h1,0,0
HPP349,DE,PAS,10/08/2016,21,S,72.0,72,0,1159A,0,408,D1,0,0
HLA6246,NY,PAS,12/15/2016,71,T,108.0,108,108,0516P,0,408,j6,2005,0
31362MG,NY,COM,01/05/2017,47,T,18.0,18,18,0225P,0,408,l2,2004,0
